uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:formeleeenheden,skos:Collection,formeleeenheden,,,Collectie van formeleeenheden.,,,,,,,,,,,,,cs,formeleeenheid,,,,,,
ct:A,skos:Concept,A,colt:formeleeenheden,,Menselijke verstoring,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Aa,skos:Concept,Aa,colt:formeleeenheden,,zand/zandh. Klei,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:AaBe,skos:Concept,AaBe,colt:formeleeenheden,,zandh. Klei,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:AaOe,skos:Concept,AaOe,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Ab,skos:Concept,Ab,colt:formeleeenheden,,"organisch siliciklastisch sediment, tufa, veen",,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Ag,skos:Concept,Ag,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Bb,skos:Concept,Bb,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BbGe,skos:Concept,BbGe,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BbHo,skos:Concept,BbHo,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BbOp,skos:Concept,BbOp,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Bc,skos:Concept,Bc,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BcAn,skos:Concept,BcAn,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BcEd,skos:Concept,BcEd,colt:formeleeenheden,,grind,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BcKi,skos:Concept,BcKi,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BcZo,skos:Concept,BcZo,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Be,skos:Concept,Be,colt:formeleeenheden,,"smectiet klei, glauconiethoudende zanden, mergel",,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Bi,skos:Concept,Bi,colt:formeleeenheden,,zand/klei/zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BiBe,skos:Concept,BiBe,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BiKe,skos:Concept,BiKe,colt:formeleeenheden,,zand,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:BiKs,skos:Concept,BiKs,colt:formeleeenheden,,klei,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
ct:Bm,skos:Concept,Bm,colt:formeleeenheden,,klei,,,,,,,,,,,,,cs:formeleeenheid,,,,,,,cs:formeleeenheid
