uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
collectie:formeleeenheden,be.vlaanderen.bodemenondergrond.data.id.collection.formeleeenheid.formeleeenheden,,,Collectie van formeleeenheden.,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,
A,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.a,collectie:formeleeenheden,A,Menselijke verstoring,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Aa,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.aa,collectie:formeleeenheden,Aa,zand/zandh. Klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
AaBe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.aabe,collectie:formeleeenheden,AaBe,zandh. Klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
AaOe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.aaoe,collectie:formeleeenheden,AaOe,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Ab,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ab,collectie:formeleeenheden,Ab,"organisch siliciklastisch sediment, tufa, veen",,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Ag,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ag,collectie:formeleeenheden,Ag,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Bb,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bb,collectie:formeleeenheden,Bb,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BbGe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bbge,collectie:formeleeenheden,BbGe,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BbHo,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bbho,collectie:formeleeenheden,BbHo,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BbOp,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bbop,collectie:formeleeenheden,BbOp,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Bc,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bc,collectie:formeleeenheden,Bc,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BcAn,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bcan,collectie:formeleeenheden,BcAn,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BcEd,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bced,collectie:formeleeenheden,BcEd,grind,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BcKi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bcki,collectie:formeleeenheden,BcKi,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BcZo,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bczo,collectie:formeleeenheden,BcZo,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Be,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.be,collectie:formeleeenheden,Be,"smectiet klei, glauconiethoudende zanden, mergel",,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Bi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bi,collectie:formeleeenheden,Bi,zand/klei/zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BiBe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bibe,collectie:formeleeenheden,BiBe,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BiKe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bike,collectie:formeleeenheden,BiKe,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BiKs,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.biks,collectie:formeleeenheden,BiKs,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Bm,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bm,collectie:formeleeenheden,Bm,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BmBt,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bmbt,collectie:formeleeenheden,BmBt,silt,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BmBw,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bmbw,collectie:formeleeenheden,BmBw,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BmPu,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bmpu,collectie:formeleeenheden,BmPu,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BmTe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bmte,collectie:formeleeenheden,BmTe,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Bo,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bo,collectie:formeleeenheden,Bo,zand/klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BoBt,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bobt,collectie:formeleeenheden,BoBt,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BoHe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bohe,collectie:formeleeenheden,BoHe,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BoKe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.boke,collectie:formeleeenheden,BoKe,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BoOb,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.boob,collectie:formeleeenheden,BoOb,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Br,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.br,collectie:formeleeenheden,Br,zand+kalkzandsteenbanken,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BrAr,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.brar,collectie:formeleeenheden,BrAr,zand+kalkzandsteenbanken,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BrBh,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.brbh,collectie:formeleeenheden,BrBh,zand+kalkzandsteenbanken,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BrCg,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.brcg,collectie:formeleeenheden,BrCg,zand+kalkzandsteenbanken,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BrDi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.brdi,collectie:formeleeenheden,BrDi,zand+kalkzandsteenbanken,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BrKr,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.brkr,collectie:formeleeenheden,BrKr,zand+kalkzandsteenbanken,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BrNe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.brne,collectie:formeleeenheden,BrNe,zand+kalkzandsteenbanken,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Bs,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bs,collectie:formeleeenheden,Bs,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BsAk,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bsak,collectie:formeleeenheden,BsAk,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BsHd,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bshd,collectie:formeleeenheden,BsHd,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BsSv,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bssv,collectie:formeleeenheden,BsSv,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
BsVs,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.bsvs,collectie:formeleeenheden,BsVs,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Ca,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ca,collectie:formeleeenheden,Ca,Gesteenten afgezet tijdens het Carboon,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
CaDi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.cadi,collectie:formeleeenheden,CaDi,Kalksteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
CaNa,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.cana,collectie:formeleeenheden,CaNa,kleisteen en zandsteen met steenkool en kalksteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
CaWe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.cawe,collectie:formeleeenheden,CaWe,"zandsteen met steenkool, kleisteen en conglomeraat",,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Ci,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ci,collectie:formeleeenheden,Ci,Kalkareniet,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Cm,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.cm,collectie:formeleeenheden,Cm,"zandsteen, kwartsiet, kleisteen, schalie en schist",,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
De,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.de,collectie:formeleeenheden,De,zandsteen met kleisteen en kalksteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Di,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.di,collectie:formeleeenheden,Di,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
DiDe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.dide,collectie:formeleeenheden,DiDe,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
DiDn,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.didn,collectie:formeleeenheden,DiDn,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Eg,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.eg,collectie:formeleeenheden,Eg,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
El,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.el,collectie:formeleeenheden,El,fluviatiele en periglaciale invulling,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
FX,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.fx,collectie:formeleeenheden,FX,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
G,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.g,collectie:formeleeenheden,G,geroerd/verstoord,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Ge,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ge,collectie:formeleeenheden,Ge,zand/kleih zand/klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GeAb,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.geab,collectie:formeleeenheden,GeAb,klei en zand met ligniet en hout,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GeHg,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gehg,collectie:formeleeenheden,GeHg,zandsteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GeHo,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.geho,collectie:formeleeenheden,GeHo,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GeKw,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gekw,collectie:formeleeenheden,GeKw,afwisseling zand en zandige klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GeMe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.geme,collectie:formeleeenheden,GeMe,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GePi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gepi,collectie:formeleeenheden,GePi,kleih zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GeVl,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gevl,collectie:formeleeenheden,GeVl,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Gm,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gm,collectie:formeleeenheden,Gm,loess,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Gt,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gt,collectie:formeleeenheden,Gt,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GtAb,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gtab,collectie:formeleeenheden,GtAb,fijn zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GtDi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gtdi,collectie:formeleeenheden,GtDi,siltig zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GtDp,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gtdp,collectie:formeleeenheden,GtDp,fijn zand met venige lagen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GtOg,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gtog,collectie:formeleeenheden,GtOg,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
GtTi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.gtti,collectie:formeleeenheden,GtTi,silt/zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Ha,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ha,collectie:formeleeenheden,Ha,mergel/klei/kalksteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Hn,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hn,collectie:formeleeenheden,Hn,"zand/tufsteen, kleihoudende leem, kalksteen/klei",,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HnBe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hnbe,collectie:formeleeenheden,HnBe,klei/zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HnCh,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hnch,collectie:formeleeenheden,HnCh,tufsteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HnGr,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hngr,collectie:formeleeenheden,HnGr,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HnHa,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hnha,collectie:formeleeenheden,HnHa,kleih leem,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HnLi,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hnli,collectie:formeleeenheden,HnLi,kalksteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HnWa,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hnwa,collectie:formeleeenheden,HnWa,klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Ho,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ho,collectie:formeleeenheden,Ho,kalksteen,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HP,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hp,collectie:formeleeenheden,HP,kalksteen/kalkareniet,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Hs,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hs,collectie:formeleeenheden,Hs,mergel/zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HsGe,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hsge,collectie:formeleeenheden,HsGe,mergel,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HsMa,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hsma,collectie:formeleeenheden,HsMa,mergel,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HsOr,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hsor,collectie:formeleeenheden,HsOr,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Hy,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hy,collectie:formeleeenheden,Hy,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HyBo,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hybo,collectie:formeleeenheden,HyBo,"glauconiethoudend, fijn tot medium zand",,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HyEg,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hyeg,collectie:formeleeenheden,HyEg,fijn zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
HyMo,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hymo,collectie:formeleeenheden,HyMo,kleiig fijn zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Hz,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.hz,collectie:formeleeenheden,Hz,zand/klei,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
IE,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.ie,collectie:formeleeenheden,IE,klei en zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
Kd,be.vlaanderen.bodemenondergrond.data.id.concept.formeleeenheid.kd,collectie:formeleeenheden,Kd,zand,,,,,,,,,,,,,conceptscheme:formeleeenheid,,,,,,,conceptscheme:formeleeenheid
